iter	Logloss
2257	0.5700010332
2258	0.5699962712
2259	0.5699893931
2260	0.5699864367
2261	0.5699809626
2262	0.5699717221
2263	0.5699639193
2264	0.5699555867
2265	0.5699518169
2266	0.5699450536
2267	0.5699385029
2268	0.569931689
2269	0.5699246658
2270	0.5699179632
2271	0.5699123372
2272	0.5699047268
2273	0.5698994586
2274	0.5698916221
2275	0.5698839003
2276	0.5698773091
2277	0.5698665769
2278	0.569862527
2279	0.5698567154
2280	0.5698500972
2281	0.5698425003
2282	0.5698361588
2283	0.5698215354
2284	0.5698130238
2285	0.5698057914
2286	0.5697995512
2287	0.5697916505
2288	0.5697878166
2289	0.5697803007
2290	0.5697730886
2291	0.5697680296
2292	0.5697596868
2293	0.5697521135
2294	0.5697434737
2295	0.569735266
2296	0.5697301935
2297	0.5697260761
2298	0.5697159007
2299	0.5697103389
2300	0.5697035553
2301	0.5696891782
2302	0.5696828368
2303	0.5696769442
2304	0.5696705184
2305	0.5696630598
2306	0.5696579266
2307	0.569652898
2308	0.5696424864
2309	0.5696381327
2310	0.569630384
2311	0.5696206946
2312	0.5696165266
2313	0.5696100468
2314	0.5696044545
2315	0.5695968272
2316	0.5695935198
2317	0.5695846
2318	0.5695808504
2319	0.5695756666
2320	0.5695678975
2321	0.5695617451
2322	0.5695535744
2323	0.5695489609
2324	0.569541283
2325	0.5695348741
2326	0.5695267878
2327	0.5695198524
2328	0.5695164673
2329	0.5695113408
2330	0.5695047294
2331	0.5694999573
2332	0.5694936428
2333	0.5694853034
2334	0.5694805786
2335	0.5694755466
2336	0.5694689486
2337	0.569462381
2338	0.569454747
2339	0.5694495868
2340	0.5694428572
2341	0.5694361681
2342	0.5694292057
2343	0.5694221015
2344	0.5694121185
2345	0.5694065938
2346	0.5694000634
2347	0.5693941877
2348	0.5693871409
2349	0.5693784673
2350	0.5693725511
2351	0.5693667935
2352	0.5693627133
2353	0.569358201
2354	0.5693520992
2355	0.5693424335
2356	0.569331627
2357	0.5693253699
2358	0.5693193626
2359	0.5693129266
2360	0.569305269
2361	0.5692997847
2362	0.5692932509
2363	0.5692899435
2364	0.5692838012
2365	0.5692794678
2366	0.5692672979
2367	0.5692617799
2368	0.5692568357
2369	0.5692482027
2370	0.5692412942
2371	0.5692358066
2372	0.5692306666
2373	0.5692232857
2374	0.5692174404
2375	0.5692131947
2376	0.5692080784
2377	0.5692016154
2378	0.5691955372
2379	0.5691899787
2380	0.5691846633
2381	0.5691775456
2382	0.5691721626
2383	0.5691651765
2384	0.5691599623
2385	0.5691537592
2386	0.5691448731
2387	0.5691393821
2388	0.5691313127
2389	0.5691261525
2390	0.5691185724
2391	0.5691135742
2392	0.5691063553
2393	0.5690993996
2394	0.5690876684
2395	0.5690808882
2396	0.5690750901
2397	0.5690666495
2398	0.5690573415
2399	0.5690457116
2400	0.5690371393
2401	0.5690317664
2402	0.5690256815
2403	0.5690184356
2404	0.5690084695
2405	0.5689994045
2406	0.5689959992
2407	0.5689905318
2408	0.5689721757
2409	0.5689666139
2410	0.5689590709
2411	0.5689533336
2412	0.5689450448
2413	0.5689392164
2414	0.5689326319
2415	0.5689272624
2416	0.568923172
2417	0.5689161556
2418	0.5689099087
2419	0.5689052344
2420	0.5688992608
2421	0.5688921195
2422	0.5688812219
2423	0.5688731323
2424	0.5688650933
2425	0.5688591163
2426	0.5688516746
2427	0.5688458462
2428	0.5688396296
2429	0.5688308143
2430	0.5688232444
2431	0.5688163225
2432	0.568810089
2433	0.5688024043
2434	0.5687936498
2435	0.5687878146
2436	0.5687810986
2437	0.5687715273
2438	0.5687654289
2439	0.568756239
2440	0.5687490538
2441	0.568742844
2442	0.5687345181
2443	0.568728909
2444	0.5687245486
2445	0.5687183658
2446	0.5687102356
2447	0.568702065
2448	0.5686950384
2449	0.5686901077
2450	0.5686830102
2451	0.5686781065
2452	0.5686699493
2453	0.5686633919
2454	0.5686539827
2455	0.5686476142
2456	0.5686371959
2457	0.5686299364
2458	0.5686212224
2459	0.5686129573
2460	0.5686064876
2461	0.5686003621
2462	0.5685940578
2463	0.5685882428
2464	0.5685814323
2465	0.5685754722
2466	0.5685696505
2467	0.5685641021
2468	0.5685534509
2469	0.5685470386
2470	0.5685421011
2471	0.5685341599
2472	0.5685241128
2473	0.5685201136
